,,,,,,,,,,,
,Snivy,,Learnset,,Servine,,Learnset,,Serperior,,Learnset
,HP,105(+10),60 - Megahorn,,,,,,,,
,Attack,120(+10),65 - Head Charge,,,,,,,,
,Defense,105(+10),70 - Superpower,,,,,,,,
,Special Attack,40,75 - Head Smash,,,,,,,,
,Special Defense,95,,,,,,,,,
,Speed,55,,,,,,,,,
,Now learns TM19,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Rufflet,,Learnset,,Braviary,,Learnset,,,,
,,,1 - Peck,,,,1 - Peck,,,,
,,,6 - Tackle,,,,6 - Tackle,,,,
,,,11 - Wing Attack,,,,11 - Wing Attack,,,,
,,,18 - Roost,,,,18 - Roost,,,,
,,,22 - Taunt,,,,22 - Taunt,,,,
,NORMAL,FLYING,27 - Headbutt,,NORMAL,FLYING,27 - Headbutt,,,,
,Ability 1,Rock Head,32 - FeatherDance,,Ability 1,Rock Head,32 - FeatherDance,,,,
,Ability 2,Reckless,38 - Take Down,,Ability 2,Reckless,38 - Take Down,,,,
,Base Stats,,42 - Drill Peck,,Base Stats,,42 - Drill Peck,,,,
,HP,70,46 - Rock Slide,,HP,100,46 - Rock Slide,,,,
,Attack,93(+10),50 - Tailwind,,Attack,123,50 - Tailwind,,,,
,Defense,50,52 - Superpower,,Defense,90(+15),52 - Superpower,,,,
,Special Attack,37,57 - Double-Edge,,Special Attack,57,57 - Double-Edge,,,,
,Special Defense,50,62 - Brave Bird,,Special Defense,75,62 - Brave Bird,,,,
,Speed,80(+20),,,Speed,80,,,,,
,,,,,Evolves at level 45.,,,,,,
,,,,,Now learns TM31,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Vullaby,,Learnset,,Mandibuzz,,Learnset,,,,
,,,1 - Gust,,,,1 - Gust,,,,
,,,6 - Whirlwind,,,,6 - Whirlwind,,,,
,,,11 - Snarl,,,,11 - Snarl,,,,
,,,18 - Air Cutter,,,,18 - Air Cutter,,,,
,,,22 - Knock Off,,,,22 - Knock Off,,,,
,DARK,FLYING,27 - Fake Tears,,DARK,FLYING,27 - Fake Tears,,,,
,Ability 1,Shield Dust,32 - FeatherDance,,Ability 1,Shield Dust,32 - FeatherDance,,,,
,Ability 2,Prankster,38 - Air Slash,,Ability 2,Prankster,38 - Air Slash,,,,
,Base Stats,,42 - Dark Pulse,,Base Stats,,42 - Dark Pulse,,,,
,HP,80(+10),46 - Foul Play,,HP,110,46 - Foul Play,,,,
,Attack,45(-10),50 - Toxic,,Attack,45(-20),50 - Toxic,,,,
,Defense,85(+10),55 - Tailwind,,Defense,105,55 - Tailwind,,,,
,Special Attack,65(+20),60 - U-Turn,,Special Attack,90(+35),60 - U-Turn,,,,
,Special Defense,65,,,Special Defense,95,,,,,
,Speed,60,,,Speed,80,,,,,
,,,,,Evolves at level 45.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Heatmor,,Learnset,,,,,,,,
,,,1 - Ember,,,,,,,,
,,,1 - Leer,,,,,,,,
,,,7 - Bug Bite,,,,,,,,
,,,13 - Flame Wheel,,,,,,,,
,,,18 - Metal Claw,,,,,,,,
,FIRE,STEEL,25 - Thief,,,,,,,,
,Ability 1,Flash Fire,30 - Drain Punch,,,,,,,,
,Ability 2,Flash Fire,36 - Fire Punch,,,,,,,,
,Base Stats,,36 - ThunderPunch,,,,,,,,
,HP,90(+5),41 - Iron Head,,,,,,,,
,Attack,117(+20),46 - Blaze Kick,,,,,,,,
,Defense,86(+20),50 - Sucker Punch,,,,,,,,
,Special Attack,60(-45),53 - Superpower,,,,,,,,
,Special Defense,86(+20),56 - Iron Tail,,,,,,,,
,Speed,91(+26),60 - Flare Blitz,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Durant,,Learnset,,,,,,,,
,,,1 - Tackle,,,,,,,,
,,,1 - Leer,,,,,,,,
,,,7 - Bite,,,,,,,,
,,,13 - Fury Cutter,,,,,,,,
,,,18 - Metal Claw,,,,,,,,
,BUG,STEEL,25 - Bug Bite,,,,,,,,
,Ability 1,Swarm,30 - Crunch,,,,,,,,
,Ability 2,Swarm,33 - Dig,,,,,,,,
,Base Stats,,36 - Leech Life,,,,,,,,
,HP,74(+16),41 - Iron Head,,,,,,,,
,Attack,119(+10),46 - X-Scissor,,,,,,,,
,Defense,112,50 - Dig,,,,,,,,
,Special Attack,58(+10),55 - Superpower,,,,,,,,
,Special Defense,48,60 - Iron Tail,,,,,,,,
,Speed,119(+10),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Deino,,Learnset,,Zweilous,,Learnset,,Hydreigon,,Learnset
,,,1 - Bite,,,,1 - Bite,,,,1 - Bite
,,,1 - Leer,,,,1 - Leer,,,,1 - Leer
,,,8 - Tri Attack,,,,8 - Tri Attack,,,,8 - Tri Attack
,,,15 - DragonBreath,,,,15 - DragonBreath,,,,15 - DragonBreath
,,,22 - Snarl,,,,22 - Snarl,,,,22 - Snarl
,DARK,DRAGON,27 - Taunt,,DARK,DRAGON,27 - Taunt,,DARK,DRAGON,27 - Taunt
,Ability 1,Sheer Force,35 - Dark Pulse,,Ability 1,Sheer Force,35 - Dark Pulse,,Ability 1,Levitate,35 - Dark Pulse
,Ability 2,Sheer Force,44 - Dragon Pulse,,Ability 2,Sheer Force,44 - Dragon Pulse,,Ability 2,Levitate,44 - Dragon Pulse
,Base Stats,,55 - Heat Wave,,Base Stats,,55 - Heat Wave,,Base Stats,,55 - Heat Wave
,HP,52,60 - Tailwind,,HP,72,60 - Tailwind,,HP,92,60 - Tailwind
,Attack,45(-20),65 - U-Turn,,Attack,55(-30),65 - U-Turn,,Attack,100(-5),65 - U-Turn
,Defense,50,70 - Roost,,Defense,80(+10),70 - Roost,,Defense,90,70 - Roost
,Special Attack,90(+45),75 - Draco Meteor,,Special Attack,105(+40),75 - Draco Meteor,,Special Attack,125,75 - Draco Meteor
,Special Defense,50,,,Special Defense,80(+10),,,Special Defense,90,
,Speed,38,,,Speed,58,,,Speed,103(+5),
,,,,,Evolves at level 27.,,,,Evolves at level 65.,,
,,,,,,,,,"Now learns TM19, TM21",,
,,,,,,,,,,,
,,,,,,,,,,,
,Larvesta,,Learnset,,Volcarona,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,5 - Bug Bite,,,,5 - Bug Bite,,,,
,,,10 - Flame Charge,,,,10 - Flame Charge,,,,
,,,15 - Morning Sun,,,,15 - Morning Sun,,,,
,,,20 - Leech Life,,,,20 - Leech Life,,,,
,BUG,FIRE,25 - Blaze Kick,,BUG,FIRE,25 - Blaze Kick,,,,
,Ability 1,Flash Fire,30 - X-Scissor,,Ability 1,Flash Fire,30 - X-Scissor,,,,
,Ability 2,Swarm,35 - Will-O-Wisp,,Ability 2,Swarm,35 - Will-O-Wisp,,,,
,Base Stats,,40 - Flare Blitz,,Base Stats,,40 - Flare Blitz,,,,
,HP,75(+20),45 - Flamethrower,,HP,90(+5),45 - Flamethrower,,,,
,Attack,105(+20),50 - Bug Buzz,,Attack,60,50 - Bug Buzz,,,,
,Defense,75(+20),55 - Rage Powder,,Defense,90(+25),55 - Rage Powder,,,,
,Special Attack,50,59 - Heat Wave,,Special Attack,135,59 - Heat Wave,,,,
,Special Defense,75(+20),65 - Overheat,,Special Defense,120(+15),65 - Overheat,,,,
,Speed,70(+10),,,Speed,105(+5),,,,,
,,,,,Evolves at level 59.,,,,,,
